epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8475,2.46169,3.75858,4.24484,0.00333,1,0.33881,0.06086,2.64382,3.92733,4.15902,0,0,0
2,19.2889,3.23584,3.36741,4.21097,0.00333,1,0.25628,0.0526,2.6436,3.9276,4.15914,1.9604e-05,1.9604e-05,1.9604e-05
3,23.0795,3.3693,3.57936,4.22142,0.00333,1,0.3825,0.06345,2.64343,3.92742,4.15922,3.8416e-05,3.8416e-05,3.8416e-05
4,25.0506,3.18963,4.23778,4.25152,0.00333,1,0.17303,0.04353,2.64332,3.92722,4.15928,5.6436e-05,5.6436e-05,5.6436e-05
5,26.8139,3.39601,3.84927,4.21934,0.00333,1,0.3544,0.05638,2.64325,3.92705,4.15934,7.3664e-05,7.3664e-05,7.3664e-05
6,28.6388,3.19281,3.49594,4.19529,0.00333,1,0.3446,0.05761,2.6432,3.92715,4.15936,9.01e-05,9.01e-05,9.01e-05
7,30.6158,2.99388,3.60695,4.19319,0.00333,1,0.13779,0.04001,2.64319,3.92707,4.15935,0.000105744,0.000105744,0.000105744
8,32.3117,3.30964,3.5451,4.19532,0.00333,1,0.13682,0.03792,2.64325,3.92699,4.1593,0.000120596,0.000120596,0.000120596
9,34.0851,2.86128,3.33745,4.14168,0.00333,1,0.38225,0.06498,2.64337,3.92705,4.1592,0.000134656,0.000134656,0.000134656
10,36.123,3.07357,3.89625,4.22567,0.00333,1,0.13835,0.04381,2.64352,3.92712,4.1591,0.000147924,0.000147924,0.000147924
11,38.5848,3.37968,3.69017,4.18451,0.00333,1,0.13879,0.03997,2.64375,3.92744,4.15893,0.0001604,0.0001604,0.0001604
12,41.0117,3.2654,4.02313,4.15357,0.00333,1,0.13925,0.03915,2.64404,3.9274,4.15878,0.000172084,0.000172084,0.000172084
13,42.8247,3.06365,3.54685,4.08604,0.00333,1,0.1546,0.0537,2.6444,3.92724,4.15855,0.000182976,0.000182976,0.000182976
14,44.7394,2.87082,3.71804,4.13334,0.00333,1,0.18167,0.05175,2.6448,3.92734,4.15829,0.000193076,0.000193076,0.000193076
15,46.8329,3.02351,3.59611,4.15362,0.00333,1,0.1361,0.04505,2.64532,3.92699,4.15799,0.000202384,0.000202384,0.000202384
16,48.6838,3.3728,3.4296,4.15001,0.00333,1,0.13774,0.04072,2.64596,3.92712,4.15767,0.0002109,0.0002109,0.0002109
17,51.0952,2.98265,3.62338,4.12791,0.00333,1,0.13783,0.03776,2.64672,3.92696,4.15736,0.000218624,0.000218624,0.000218624
18,52.8322,3.36529,3.68899,4.12577,0.00333,1,0.15882,0.03972,2.64751,3.92716,4.15699,0.000225556,0.000225556,0.000225556
19,55.0802,3.74866,3.53656,4.14898,0.00333,1,0.18027,0.04305,2.64838,3.92707,4.15666,0.000231696,0.000231696,0.000231696
20,56.9706,3.08189,3.39323,4.14491,0.00333,1,0.10598,0.03709,2.64944,3.92732,4.15626,0.000237044,0.000237044,0.000237044
21,58.9719,2.98814,3.20267,4.15299,0.00333,1,0.1145,0.04819,2.65044,3.92762,4.15598,0.0002416,0.0002416,0.0002416
22,60.9045,3.34038,3.31316,4.20008,0.00333,1,0.09668,0.03387,2.65142,3.92723,4.15546,0.000245364,0.000245364,0.000245364
23,63.1691,3.10278,3.46511,4.1462,0.00333,1,0.10418,0.04196,2.65228,3.92728,4.15478,0.000248336,0.000248336,0.000248336
24,65.0176,2.4341,3.59538,4.15605,0.00333,1,0.09348,0.03473,2.66057,3.91314,4.15345,0.000250516,0.000250516,0.000250516
25,67.1353,3.10286,3.39603,4.08451,0.00333,1,0.05954,0.02438,2.66187,3.91285,4.15237,0.000251904,0.000251904,0.000251904
26,69.2063,3.4306,3.72006,4.1999,0.00333,1,0.05257,0.02176,2.66302,3.91266,4.15127,0.0002525,0.0002525,0.0002525
27,71.2481,3.14435,3.45325,4.08769,0.00333,1,0.0418,0.02067,2.67137,3.89822,4.14931,0.000252304,0.000252304,0.000252304
28,73.3007,2.86679,3.42359,4.09978,0.00333,1,0.0412,0.01905,2.66969,3.90031,4.14812,0.000251316,0.000251316,0.000251316
29,75.2692,3.18935,3.39515,4.11156,0.00333,1,0.04351,0.02112,2.6823,3.87429,4.14475,0.000249536,0.000249536,0.000249536
30,77.5711,2.61228,3.25788,4.06928,0.00333,1,0.04404,0.02189,2.68034,3.87661,4.14297,0.000246964,0.000246964,0.000246964
31,79.6835,3.14283,3.60243,4.0764,0.00333,1,0.04025,0.02054,2.68542,3.86542,4.14021,0.0002436,0.0002436,0.0002436
32,81.5168,3.00424,3.35735,3.98845,0.00333,1,0.03813,0.01675,2.69145,3.85144,4.13707,0.000239444,0.000239444,0.000239444
33,83.625,3.44277,3.51743,4.11602,0.00333,1,0.04812,0.0225,2.69047,3.84952,4.1352,0.000234496,0.000234496,0.000234496
34,85.5899,3.00704,3.40725,4.11317,0.00333,1,0.06129,0.02475,2.68935,3.84757,4.13313,0.000228756,0.000228756,0.000228756
35,87.6813,2.76018,3.14386,4.01142,0.00333,1,0.05163,0.02435,2.68865,3.84649,4.1311,0.000222224,0.000222224,0.000222224
36,89.8997,3.4253,3.38828,4.03653,0.00333,1,0.05167,0.02341,2.69461,3.83292,4.12777,0.0002149,0.0002149,0.0002149
37,91.7944,2.83122,3.45636,4.09381,0.00333,1,0.06539,0.02822,2.69352,3.83202,4.1257,0.000206784,0.000206784,0.000206784
38,94.0709,3.49691,3.66658,4.07225,0.00333,1,0.05799,0.0253,2.6991,3.81895,4.12266,0.000197876,0.000197876,0.000197876
39,96.5745,2.59371,3.2318,3.96644,0.00333,1,0.06637,0.02661,2.70472,3.80547,4.1191,0.000188176,0.000188176,0.000188176
40,98.5564,2.79882,3.36279,4.00515,0.00333,1,0.05823,0.02674,2.70379,3.802,4.11571,0.000177684,0.000177684,0.000177684
41,100.526,2.37653,4.09048,3.92459,0.00333,1,0.07509,0.03025,2.68503,3.81039,4.11185,0.0001664,0.0001664,0.0001664
42,102.632,2.52494,4.11263,3.99638,0.00333,1,0.05419,0.02406,2.68444,3.80936,4.10991,0.000154324,0.000154324,0.000154324
43,104.728,2.60948,3.91362,3.89574,0.00333,1,0.06652,0.02693,2.68326,3.81034,4.10919,0.000141456,0.000141456,0.000141456
44,106.784,2.58641,4.01594,4.03773,0.00333,1,0.0524,0.02565,2.68211,3.81421,4.10957,0.000127796,0.000127796,0.000127796
45,108.468,2.24721,3.82269,3.7969,0.00333,1,0.04748,0.02534,2.69979,3.80576,4.11091,0.000113344,0.000113344,0.000113344
46,110.455,2.48886,3.88833,3.89643,0.00333,1,0.05057,0.02254,2.69949,3.80869,4.11151,9.81e-05,9.81e-05,9.81e-05
47,112.354,2.13003,3.73446,3.8739,0.00333,1,0.04899,0.02336,2.69916,3.81077,4.11177,8.2064e-05,8.2064e-05,8.2064e-05
48,114.207,2.37314,3.90852,3.90554,0.00333,1,0.04531,0.0211,2.69873,3.81252,4.1118,6.5236e-05,6.5236e-05,6.5236e-05
49,116.071,2.11915,3.75334,3.79212,0.00333,1,0.04924,0.02259,2.69809,3.81273,4.11133,4.7616e-05,4.7616e-05,4.7616e-05
50,118.115,2.63249,3.86299,3.87603,0.00333,1,0.0507,0.02035,2.69763,3.81285,4.11091,2.9204e-05,2.9204e-05,2.9204e-05
